city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
212,Coyhaique,CL,-45.5752,-72.0662,59.61,82,0,8.05,clear sky
213,Grootfontein,NA,-19.5667,18.1167,68.9,70,36,10.8,light rain
214,Egvekinot,RU,66.3167,-179.1667,-17.7,89,9,11.21,clear sky
215,Okhotsk,RU,59.3833,143.3,1.18,78,63,8.55,broken clouds
216,Atar,MR,20.5169,-13.0499,67.12,11,100,6.24,overcast clouds
217,Tacuarembó,UY,-31.7333,-55.9833,54.28,75,0,6.44,clear sky
218,Leningradskiy,RU,69.3833,178.4167,-29.36,100,66,4.43,broken clouds
219,Svobodnyy,RU,51.4,128.1333,6.06,87,89,3.78,overcast clouds
220,Vostok,RU,46.4856,135.8833,5.9,91,100,7.14,overcast clouds
221,Ciudad del Maíz,MX,22.4,-99.6,48.74,72,81,1.1,broken clouds
222,East Islip,US,40.732,-73.1857,33.01,79,100,5.01,overcast clouds
223,Katsuura,JP,35.1333,140.3,48.11,34,24,3.31,few clouds
224,Margate,GB,51.3813,1.3862,38.95,77,3,4.0,clear sky
225,Togur,RU,58.3631,82.8265,12.24,91,88,5.91,overcast clouds
226,Rundu,NA,-17.9333,19.7667,70.95,74,6,10.98,clear sky
227,Oyama,JP,36.3,139.8,49.53,21,0,4.63,clear sky
228,Tangi,PK,34.3006,71.6536,62.6,46,11,4.18,few clouds
229,La Orilla,MX,17.9833,-102.2333,70.2,74,11,3.6,few clouds
230,Solnechnyy,RU,50.7214,136.6319,5.52,93,100,3.51,overcast clouds
231,Hambantota,LK,6.1241,81.1185,88.72,55,93,8.16,moderate rain
232,Muzhi,RU,65.3667,64.6667,-12.93,100,100,3.04,overcast clouds
233,Ozinki,RU,51.1786,49.6769,14.14,89,100,5.77,overcast clouds
234,Meulaboh,ID,4.1363,96.1285,77.29,87,100,6.04,overcast clouds
235,Toyooka,JP,35.5333,134.8333,39.25,90,76,2.77,broken clouds
236,Alonia,GR,40.3938,22.5418,48.13,94,1,1.01,clear sky
237,Lavrentiya,RU,65.5833,-171.0,-20.56,87,13,11.36,few clouds
238,Kangaatsiaq,GL,68.3065,-53.4641,0.7,96,100,22.44,overcast clouds
239,Hazorasp,UZ,41.3194,61.0742,35.44,51,100,8.46,overcast clouds
240,Guozhen,CN,34.3659,107.359,36.32,60,100,4.47,overcast clouds
241,Rocha,UY,-34.4833,-54.3333,64.35,73,99,12.64,overcast clouds
242,Houma,US,29.5958,-90.7195,44.01,87,100,4.85,overcast clouds
243,Acapulco de Juárez,MX,16.8634,-99.8901,75.02,78,0,3.44,clear sky
244,Assiniboia,CA,49.6334,-105.9845,27.27,76,0,11.16,clear sky
245,San Juan,AR,-31.5375,-68.5364,71.58,40,0,5.61,clear sky
246,Adrar,MR,20.5022,-10.0711,60.33,11,6,10.09,clear sky
247,Porto Tolle,IT,44.9497,12.3245,43.05,83,56,13.2,broken clouds
248,Bāndarban,BD,22.1965,92.2262,77.85,27,28,5.19,scattered clouds
249,Bandarbeyla,SO,9.4942,50.8122,78.48,64,100,17.87,overcast clouds
250,Sampit,ID,-2.5333,112.95,81.45,83,100,1.16,overcast clouds
251,Lagoa,PT,39.05,-27.9833,59.0,78,0,15.39,clear sky
252,Hithadhoo,MV,-0.6,73.0833,83.01,66,20,14.9,few clouds
253,Lorengau,PG,-2.0226,147.2712,83.07,76,100,6.44,overcast clouds
254,Whitianga,NZ,-36.8333,175.7,71.02,97,99,9.33,overcast clouds
255,Srednekolymsk,RU,67.45,153.6833,-34.17,100,67,1.05,broken clouds
256,Skibbereen,IE,51.55,-9.2667,53.11,98,100,13.18,overcast clouds
257,Nikolskoye,RU,59.7035,30.7861,36.88,97,100,7.54,snow
258,Cape Canaveral,US,28.4058,-80.6048,63.99,89,100,6.91,mist
259,Morehead,US,37.2711,-87.1764,27.99,93,0,0.0,clear sky
260,Mossamedes,AO,-15.1961,12.1522,75.2,60,85,7.27,overcast clouds
261,Yamada,JP,39.4667,141.95,33.06,50,13,12.44,few clouds
262,Kaeo,NZ,-35.1,173.7833,75.33,97,100,6.29,overcast clouds
263,Erenhot,CN,43.6475,111.9767,16.88,65,0,7.36,clear sky
264,São João da Barra,BR,-21.6403,-41.0511,74.62,89,0,13.49,clear sky
265,Yarmouth,US,41.7057,-70.2286,37.51,79,100,0.0,overcast clouds
266,Veinticinco de Mayo,AR,-35.4323,-60.1727,60.06,96,4,5.01,clear sky
267,Maubeuge,FR,50.2788,3.9727,37.11,36,6,1.01,clear sky
268,Goryachegorsk,RU,55.4053,88.9154,27.09,58,1,7.74,clear sky
269,Fortuna,US,40.5982,-124.1573,44.65,94,0,3.27,clear sky
270,Camaná,PE,-16.6228,-72.7111,70.38,83,81,6.15,broken clouds
271,Amaigbo,NG,5.7892,7.8383,76.51,65,4,2.55,clear sky
272,Araouane,ML,18.9048,-3.5265,59.4,16,0,9.66,clear sky
273,Waipawa,NZ,-41.4122,175.5153,61.45,88,100,8.93,overcast clouds
274,Pisco,PE,-13.7,-76.2167,64.45,94,40,3.44,scattered clouds
275,Qaanaaq,GL,77.484,-69.3632,-8.79,58,26,7.49,scattered clouds
276,Östersund,SE,63.1792,14.6357,21.65,100,100,4.61,overcast clouds
277,Huarmey,PE,-10.0681,-78.1522,70.45,80,100,5.7,overcast clouds
278,Isangel,VU,-19.55,169.2667,78.89,92,100,21.07,overcast clouds
279,Plouzané,FR,48.3833,-4.6167,50.18,96,100,4.61,mist
280,Daokou,CN,35.5639,114.5058,44.71,18,95,4.36,overcast clouds
281,Luanda,AO,-8.8368,13.2343,75.2,83,40,5.75,scattered clouds
282,Bloomingdale,US,27.8936,-82.2404,59.29,95,100,1.01,mist
283,Yangi Marg`ilon,UZ,40.4272,71.7189,40.35,75,75,6.91,broken clouds
284,Sinnamary,GF,5.3833,-52.95,76.77,89,100,7.18,overcast clouds
285,Chabahar,IR,25.2919,60.643,71.78,56,0,9.89,clear sky
286,Mugur-Aksy,RU,50.35,90.5,13.24,55,4,5.68,clear sky
287,Puebla,MX,18.8333,-98.0,55.49,65,2,4.7,clear sky
288,Karratha,AU,-20.7377,116.8463,90.34,62,84,15.79,broken clouds
289,Jacareacanga,BR,-6.2222,-57.7528,71.47,99,100,1.28,overcast clouds
290,Lompoc,US,34.6391,-120.4579,55.53,87,0,5.75,clear sky
291,Kailua,US,21.4022,-157.7394,74.14,72,0,10.36,clear sky
292,Nanortalik,GL,60.1432,-45.2371,16.34,77,100,55.77,overcast clouds
293,Yumen,CN,40.2833,97.2,23.04,47,51,5.53,broken clouds
294,Atbasar,KZ,51.8,68.3333,24.12,94,97,10.89,overcast clouds
295,Harwich,GB,51.9419,1.2844,37.99,83,5,8.99,clear sky
